PLAYER,POS,AGE,TRB,AST,STL,BLK,PTS
Brandon Clarke,PF,27,5.3,1.5,0.8,1,11.3
Jordan Clarkson,SG,31,3.4,5,0.6,0.1,17.1
Nic Claxton,C,24,9.9,2.1,0.6,2.1,11.8
Noah Clowney,PF,19,3.5,0.8,0.3,0.7,5.8
Amir Coffey,SF,26,2.1,1.1,0.6,0.2,6.6
John Collins,PF,26,8.5,1.1,0.6,0.9,15.1
Zach Collins,C,26,5.4,2.8,0.5,0.8,11.2
Mike Conley,PG,36,2.9,5.9,1.2,0.2,11.4
Pat Connaughton,SF,31,3.1,2.1,0.5,0.3,5.6
Bilal Coulibaly,SF,19,4.1,1.7,0.9,0.8,8.4
Ricky Council IV,SG,22,1.4,0.5,0.3,0,5.4
Robert Covington,SF,33,3.3,0.8,1.3,0.6,4.4
Torrey Craig,SF,33,4.1,1.1,0.6,0.4,5.7
Jae Crowder,PF,33,3.2,1.3,0.8,0.2,6.2
Jalen Crutcher,PG,24,0,0,0,0,0
Cade Cunningham,PG,22,4.3,7.5,0.9,0.4,22.7
Seth Curry,SG,33,1.5,1,0.5,0.1,5.1
Stephen Curry,PG,35,4.5,5.1,0.7,0.4,26.4
Dyson Daniels,PG,20,3.9,2.7,1.4,0.4,5.8
Anthony Davis,C,30,12.6,3.5,1.2,2.3,24.7
Johnny Davis,SG,21,1.4,0.6,0.4,0.2,3
JD Davison,SG,21,1.3,1.3,0.1,0.1,2
Dexter Dennis,SG,24,2.3,1,0,0.3,5.5
DeMar DeRozan,SF,34,4.3,5.3,1.1,0.6,24
Moussa Diabat ,C,22,2.2,0.4,0.5,0.1,2.6
Mamadi Diakite,PF,27,0.7,0.3,0.2,0.2,2
Hamidou Diallo,SG,25,1,0.5,1,0,1
Gradey Dick,SG,20,2.2,1.1,0.6,0,8.5
Ousmane Dieng,PF,20,1.5,1.1,0.2,0.2,4
Spencer Dinwiddie,PG,30,2.7,4.7,0.7,0.3,10.5
Donte DiVincenzo,SG,27,3.7,2.7,1.3,0.4,15.5
Luka Doncic,PG,24,9.2,9.8,1.4,0.5,33.9
Luguentz Dort,SF,24,3.6,1.4,0.9,0.6,10.9
Ayo Dosunmu,SG,24,2.8,3.2,0.9,0.5,12.2
Jeff Dowtin,PG,26,1.7,2.3,0.6,0.1,4.3
Henri Drell,SF,23,1,1,0.5,0.3,2.8
Andre Drummond,C,30,9,0.5,0.9,0.6,8.4
Chris Duarte,SF,26,1.8,0.7,0.5,0.1,3.9
David Duke Jr.,SG,24,2.5,1.3,0.5,0,6.5
Kris Dunn,PG,29,2.9,3.8,1,0.4,5.4
Kevin Durant,PF,35,6.6,5,0.9,1.2,27.1
Jalen Duren,C,20,11.6,2.4,0.5,0.8,13.8
Tari Eason,PF,22,7,1.2,1.4,0.9,9.8
Anthony Edwards,SG,22,5.4,5.1,1.3,0.5,25.9
Kessler Edwards,SF,23,0.8,0.3,0.2,0.1,1.7
Keon Ellis,SG,24,2.2,1.5,0.9,0.5,5.4
Joel Embiid,C,29,11,5.6,1.2,1.7,34.7
Drew Eubanks,C,26,4.3,0.8,0.4,0.8,5.1
Tosan Evbuomwan,SF,22,3.5,0.9,0.4,0.3,5.9
Dante Exum,PG,28,2.7,2.9,0.4,0.1,7.8
Bruno Fernando,C,25,4.3,1,0.6,0.6,6.3
Dorian Finney-Smith,PF,30,4.7,1.6,0.8,0.6,8.5
Adam Flagler,SG,24,0,2,0,0,1.5
Malachi Flynn,PG,25,1.7,1.9,0.6,0.1,5.5
Simone Fontecchio,SF,28,3.7,1.5,0.7,0.3,10.5
Jordan Ford,PG,25,0.3,0.3,0,0,2
Trent Forrest,SG,25,1.3,2.4,0.3,0.1,2.2
Evan Fournier,SG,31,1.8,1.5,0.9,0.2,6.9
De'Aaron Fox,PG,26,4.6,5.6,2,0.4,26.6
Javon Freeman-Liberty,PG,24,3.2,1.8,0.5,0.2,7
Alex Fudge,SF,20,0.8,0,0.5,0,2.5
Markelle Fultz,PG,25,3.2,2.8,1,0.3,7.8
Andrew Funk,SG,24,0,0,0.2,0.2,0
Wenyen Gabriel,PF,26,5,0.6,0.4,0.4,3.4
Daniel Gafford,C,25,7.6,1.6,0.9,2.1,11
Danilo Gallinari,PF,35,2.2,1.1,0.3,0.1,5.7
Darius Garland,PG,24,2.7,6.5,1.3,0.1,18
Usman Garuba,PF,21,1.2,0.2,0.2,0.5,0.5
